21563.829,4249.788,505.574,0.157,175,"332,334,334,335,336,337,338,338,339,339,340,341,341,343,344,344,347,348,350,351,351,354,355,356,357,357,358,360,361,362,363,364,365,366,366,367,368,369,370,371,372,372,373,373,374,374,374,375,376,376,376,376,376,376,376,377,377,378,379,380,381,382,383,384,384,385,386,387,388,389,390,391,392,393,394,394,395,396,397,398,399,400,401,402,403,403,404,405,406,406,406,406,406,407,407,408,409,409,409,410,411,412,413,413,414,414,414,414,415,415,415,415,415,415,416,417,418,419,420,421,422,422,423,424,424,425,425,426,427,427,428,429,430,432,432,433,433,433,434,435,436,436,437,438,439,440,441,442,442,443,443,446,447,448,448,449,449,450,450,450,451,452,453,453,454,454,455,455,456,457,458,460,461,462,463"
661.077,53.615,22.963,0.520,13,"332,393,393,393,393,393,393,396,404,404,404,405,405"
8128.333,6.651,2.002,0.524,6,"389,427,427,462,463,463"
546.667,11.221,3.160,0.417,6,"354,365,373,405,450,451"
1758.800,16.347,6.788,0.507,5,"343,400,432,437,440"
1447.429,2.142,1.629,0.762,7,"366,414,414,414,414,414,414"
6146.286,7.059,2.032,0.436,7,"375,376,378,378,379,380,458"
1065.647,38.053,22.135,0.769,17,"332,334,336,336,343,344,347,383,387,388,391,394,399,420,420,421,450"
1304.400,80.038,27.032,0.417,10,"344,372,379,384,386,392,420,433,454,458"
728.500,32.992,3.693,0.247,20,"348,363,371,372,374,378,400,406,407,409,413,436,439,442,449,449,451,453,457,462"
7523.333,8.106,2.180,0.439,6,"332,336,339,379,391,418"
8628.286,72.464,61.951,0.857,7,"332,344,383,421,421,450,458"
517.750,12.576,2.646,0.367,8,"371,383,387,404,406,409,425,440"
2790.400,19.556,9.758,0.569,5,"335,392,414,428,429"
7289.429,21.532,8.176,0.469,7,"332,343,378,384,387,421,462"
750.800,4.600,1.385,0.570,5,"341,347,420,420,435"
1905.083,27.715,3.620,0.276,24,"334,334,337,337,337,339,339,340,344,374,374,379,382,388,407,408,409,414,415,415,420,450,450,450"
616.000,16.388,3.931,0.390,9,"362,371,386,397,428,440,441,455,455"
678.667,8.574,1.962,0.413,6,"362,363,398,416,439,451"
7311.167,26.820,13.229,0.482,12,"377,402,420,420,421,432,439,450,451,451,454,454"
1108.480,103.829,39.803,0.429,25,"332,334,335,336,337,338,339,339,340,341,344,347,348,350,351,366,378,378,387,390,392,420,432,450,457"
283.333,44.463,22.958,0.623,6,"420,428,434,436,436,454"
30113.957,171.865,38.877,0.306,47,"335,341,341,344,347,347,347,348,355,356,358,361,361,363,371,374,377,383,383,384,385,385,386,387,388,388,390,392,392,394,396,401,406,414,416,416,418,420,433,438,442,442,443,443,448,450,456"
929.782,159.718,5.172,0.571,55,"382,382,382,382,393,393,393,393,393,393,393,393,393,393,393,393,393,393,393,393,393,393,393,393,393,404,404,404,404,404,404,404,404,404,404,404,404,404,404,404,404,404,404,404,404,404,404,405,405,405,405,405,405,405,413"
7965.143,16.237,6.916,0.499,7,"343,396,405,427,447,447,461"
1163.783,108.289,112.547,1.119,46,"332,334,335,336,337,338,339,340,341,343,344,347,348,350,351,372,374,375,376,377,378,379,383,385,387,388,389,390,391,392,394,396,399,401,406,407,408,409,410,411,412,413,414,415,420,450"
1899.515,51.907,2.902,0.180,33,"332,339,341,343,343,344,347,360,366,370,377,380,383,385,387,388,392,395,396,401,412,414,420,420,426,427,432,434,434,439,442,442,456"
475.768,378.603,49.825,0.466,69,"382,382,382,382,382,382,382,382,382,382,382,382,382,393,393,393,393,393,393,393,393,393,393,393,394,404,404,404,404,404,404,404,404,404,404,404,404,404,404,405,405,405,405,405,405,405,405,405,405,405,405,405,405,405,405,405,405,405,405,405,405,405,405,405,405,405,405,420,440"
12575.444,120.262,5.781,0.177,54,"336,339,341,343,344,348,351,354,356,360,364,365,366,368,374,375,379,382,385,387,388,392,394,395,399,404,405,406,407,408,409,414,418,418,419,423,423,427,427,429,433,433,434,436,436,436,436,436,439,443,447,452,453,454"
946.286,10.607,3.201,0.533,7,"340,394,414,414,439,452,452"
762.400,15.030,3.575,0.352,10,"374,376,383,392,397,405,413,433,457,462"
7210.250,8.992,2.281,0.504,8,"350,377,391,406,406,407,407,410"
770.037,6787.339,358.396,0.076,163,"332,334,335,336,337,338,339,339,339,340,340,341,343,343,344,347,348,350,350,351,351,353,354,355,356,357,358,360,361,362,363,364,365,366,367,368,369,370,371,372,373,374,375,375,375,375,376,377,378,379,380,380,381,382,383,383,384,384,384,384,384,385,386,386,386,387,387,388,388,388,388,389,390,391,392,392,393,394,394,395,396,396,397,397,398,399,399,400,401,402,403,404,405,406,407,408,409,410,411,411,412,413,414,415,416,417,418,419,420,421,422,422,423,423,424,425,426,426,427,428,429,430,432,433,434,435,435,436,437,439,440,441,442,442,442,442,442,443,446,447,447,448,449,450,450,451,452,453,454,455,455,456,456,457,457,457,458,459,460,461,462,463,463"
6412.000,19.847,14.249,0.808,7,"338,372,372,390,403,414,414"
987.200,15.167,5.089,0.564,5,"339,368,368,395,451"
864.133,32.324,4.160,0.275,15,"344,356,357,378,389,396,397,398,401,403,404,420,422,425,439"
733.167,19.596,2.598,0.295,12,"361,362,374,387,388,414,432,435,440,441,457,458"
7090.800,5.417,1.483,0.487,5,"351,378,379,392,463"
502.262,350.245,15.751,0.197,61,"336,343,344,347,357,357,360,367,372,375,375,379,379,384,385,385,387,387,387,390,390,390,391,391,392,396,397,397,402,407,407,410,420,421,423,433,436,436,437,437,437,439,439,439,440,440,447,450,450,451,451,452,452,454,454,458,458,458,458,463,463"
239.602,7497.175,433.022,0.073,161,"332,334,335,336,337,338,339,339,340,341,343,343,344,347,347,348,350,351,353,354,355,356,357,358,359,360,360,361,362,362,363,363,364,365,366,367,368,369,370,371,372,372,373,374,375,375,375,376,376,377,378,379,380,380,381,382,383,383,383,383,384,384,385,385,386,386,387,387,388,388,388,389,390,391,392,393,394,394,395,396,397,397,398,398,399,399,400,401,402,403,403,404,405,406,407,408,409,410,411,411,412,412,413,414,414,414,415,416,417,418,419,420,421,422,422,423,424,425,426,427,428,429,430,432,433,433,434,435,436,437,439,440,441,441,442,442,442,443,446,447,448,448,448,449,450,450,451,452,453,454,455,456,456,457,458,459,460,460,461,462,463"
1091.789,165.225,26.768,0.294,19,"332,334,334,335,336,337,338,339,339,340,341,343,344,347,350,351,420,420,450"
